date,revenue,cogs,opex,depreciation,ebitda,ebit,interest_expense,tax,net_income,cash,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,accounts_receivable,accounts_payable,debt,r_and_d,marketing,employee_count
2004-12-05,72286,29753,10423,3774,32110,28336,1241,7314,19781,1022891909,100131,58562,41569,41140,20054,3256,20942,5247,13998,1372,2008,3300
2004-12-06,30825,11032,12227,1498,7566,6068,159,1270,4639,1022896548,35348,14290,21058,14720,9734,932,7345,3266,14929,1062,2624,3801
2004-12-07,51056,19758,14565,1792,16733,14941,510,3597,10834,1022907382,58818,36192,22626,27276,10226,1072,8188,5668,9908,989,1988,3663
2004-12-08,74812,39925,6048,2839,28839,26000,1629,5455,18916,1022926298,81011,37282,43729,38285,22094,3839,14965,9313,23628,668,756,3548
2004-12-09,53011,24613,13471,1526,14927,13401,953,2749,9699,1022935997,52154,26153,26001,27942,14205,1315,9223,4731,11104,1777,3032,3493
2004-12-10,99284,40800,11001,3324,47483,44159,1497,9398,33264,1022969261,113952,78110,35842,55392,18780,2812,27915,9299,24410,811,2111,3559
2004-12-11,36333,16602,11853,1513,7878,6365,635,1509,4221,1022973482,49891,31915,17976,21822,7555,1106,10844,2996,13569,982,1884,3478
2004-12-12,35091,12788,9898,1093,12405,11312,788,2231,8293,1022981775,47927,31534,16393,23041,8250,1057,7858,3656,11102,855,1160,3429
2004-12-13,69973,34120,15627,2609,20226,17617,1792,4101,11724,1022993499,89795,60163,29632,51909,12853,4782,20779,5800,20431,1755,2919,3578
2004-12-14,65840,25799,12432,3068,27609,24541,360,6043,18138,1023011637,61095,40143,20952,32896,9014,1845,11630,4018,7775,792,2030,3494
2004-12-15,51915,26422,21320,1763,4173,2410,261,491,1658,1023013295,73024,30085,42939,32741,20915,2413,10294,4404,31317,1207,4360,3463
2004-12-16,64458,25890,12807,2553,25761,23208,1390,5917,15901,1023029196,62985,29383,33602,33223,14711,1493,15767,6329,19853,1879,3095,3649
2004-12-17,45174,17499,13009,1159,14666,13507,1285,2448,9774,1023038970,69791,31685,38106,33313,20720,1636,7599,3364,26005,1633,1993,3325
2004-12-18,58165,27256,10660,3430,20249,16819,1464,3026,12329,1023051299,85429,44066,41363,41022,17183,2467,14688,5476,21307,1080,1448,3501
2004-12-19,27530,12263,9495,1057,5772,4715,140,1162,3413,1023054712,41377,18523,22854,17407,12761,1153,7631,3439,12950,570,1987,3467
2004-12-20,94671,51199,16235,3069,27237,24168,2187,5398,16583,1023071295,115998,78942,37056,68924,19622,4175,25496,8463,28524,1793,1767,3467
2004-12-21,32930,11659,14922,1438,6349,4911,623,828,3460,1023074755,36084,16924,19160,18279,10117,1234,5705,3208,11021,2117,1652,3207
2004-12-22,63171,22735,19580,2238,20856,18618,1794,3299,13525,1023088280,66168,37993,28175,33790,16786,1415,14206,4446,19521,2792,4204,3501
2004-12-23,44616,23537,9872,933,11207,10274,300,1865,8109,1023096389,47791,31664,16127,26656,6630,3373,12593,3627,7431,876,2273,3441
2004-12-24,49470,20215,27895,2083,1360,-723,1120,0,-1843,1023094546,70364,46730,23634,34770,14116,1915,9469,3855,8843,2646,2854,3697
2004-12-25,112623,51936,13129,2452,47558,45106,2193,11998,30915,1023125461,149572,76761,72811,83229,35297,4247,25072,13386,40338,933,3281,3341
2004-12-26,126908,69182,17734,4759,39992,35233,770,7208,27255,1023152716,154741,90834,63907,66646,27466,6891,22452,17056,38530,1206,4190,3689
2004-12-27,41969,21303,14714,1661,5952,4291,442,1056,2793,1023155509,42722,20256,22466,17329,12230,1418,12465,4741,10853,1115,2062,3461
2004-12-28,47040,19499,12418,1396,15123,13727,962,3188,9577,1023165086,56794,28945,27849,25312,15183,1452,9831,5588,12267,882,2238,3577
2004-12-29,85332,35663,11451,2764,38218,35454,1769,8988,24697,1023189783,109305,69250,40055,53134,20719,2846,16248,8392,16150,1242,1420,3200
2004-12-30,38339,19861,22123,1291,-3645,-4936,270,0,-5206,1023184577,50444,24528,25916,25196,15103,1760,7474,4565,19584,2622,3161,3753
2004-12-31,21631,9743,9826,861,2062,1201,535,170,496,1023185073,28064,11648,16416,11427,7752,1131,5741,2273,5081,1246,1077,3632
2005-01-01,39105,20478,9522,1809,9105,7296,392,1443,5461,1023190534,40791,25792,14999,16748,7037,1618,8192,3925,11406,1075,2075,3539
2005-01-02,40270,19671,16992,944,3607,2663,679,375,1609,1023192143,36583,21107,15476,21288,6229,1067,7249,3373,12009,2416,2809,3588
2005-01-03,121278,47305,19218,5076,54755,49679,1978,11533,36168,1023228311,186272,129445,56827,79909,24311,6016,21412,8141,25223,2468,3170,3669
2005-01-04,32695,13106,13575,1248,6014,4766,479,1159,3128,1023231439,36018,22638,13380,17189,6738,682,8802,2877,6929,1549,2460,3669
2005-01-05,78334,29681,12562,2890,36091,33201,501,8338,24362,1023255801,106722,43188,63534,55653,34721,4355,13255,6834,20704,939,2975,3536
2005-01-06,45701,18349,13338,1762,14014,12252,965,2343,8944,1023264745,44731,28961,15770,25705,7800,1254,8324,5459,5735,1867,2552,3374
2005-01-07,120568,44642,13681,6824,62245,55421,3338,11866,40217,1023304962,141541,73727,67814,61316,34391,6390,22480,8045,45014,882,1704,3611
2005-01-08,92446,49544,12668,5169,30234,25065,2402,5609,17054,1023322016,122748,51936,70812,52889,34996,5271,16436,7559,21501,738,1291,3653
2005-01-09,88043,32196,15215,4477,40632,36155,2466,9183,24506,1023346522,97164,41568,55596,51865,33344,4143,15507,7487,20397,1743,2536,3626
2005-01-10,63929,34842,16376,2807,12711,9904,1430,1572,6902,1023353424,60507,33146,27361,26126,14892,2385,13869,5320,18906,1280,3518,3633
2005-01-11,43244,20207,8877,948,14160,13212,919,2603,9690,1023363114,61386,36528,24858,34129,10086,1746,11516,3771,10674,898,2040,3619
2005-01-12,23931,10362,16121,1005,-2552,-3557,690,0,-4247,1023358867,25907,14080,11827,11317,6100,925,6142,1996,9101,1983,3964,3803
2005-01-13,77244,38101,23291,4367,15852,11485,420,2537,8528,1023367395,97346,48963,48383,40574,20706,3800,18988,8829,29929,2605,5714,3385
2005-01-14,63434,26680,16962,1556,19792,18236,1140,3831,13265,1023380660,72576,40867,31709,33565,18737,3889,13169,7921,16955,1555,2529,3668
2005-01-15,74559,26156,17035,2562,31368,28806,558,7859,20389,1023401049,112191,50787,61404,51454,32771,3236,18222,7315,43561,1758,3664,3528
2005-01-16,109897,44427,11076,4006,54394,50388,2807,12539,35042,1023436091,118381,52545,65836,65605,38040,5467,24488,8185,48039,747,1422,3363
2005-01-17,41185,16782,18242,988,6161,5173,472,1169,3532,1023439623,45779,30347,15432,19928,9036,1528,9095,3859,11908,2248,3887,3490
2005-01-18,62277,28895,13339,1315,20043,18728,1286,4849,12593,1023452216,73541,41012,32529,41557,16073,4270,14922,6336,24381,1468,2134,3276
2005-01-19,46583,16857,12326,2756,17400,14644,696,3816,10132,1023462348,66252,32237,34015,35350,18009,1588,11202,3758,21343,1843,2637,3718
2005-01-20,55900,28956,8923,1390,18021,16631,1115,4089,11427,1023473775,80121,48547,31574,41449,18804,1689,10846,6039,18185,678,2072,3350
2005-01-21,64627,30993,16367,3412,17267,13855,1563,2237,10055,1023483830,100805,54425,46380,41718,25678,3832,19072,4915,15479,1710,3873,3629
2005-01-22,36754,14706,7269,1163,14779,13616,977,2888,9751,1023493581,46067,20003,26064,27548,15377,1450,8577,2659,10829,550,845,3631
2005-01-23,51244,26207,14234,1931,10803,8872,728,1921,6223,1023499804,70200,35735,34465,31440,18142,3594,10422,4241,24574,1042,2098,3549
2005-01-24,40657,16763,17442,2168,6452,4284,288,820,3176,1023502980,41108,28083,13025,21079,5764,1580,10735,3491,6061,1088,2509,3269
2005-01-25,56790,21421,25358,2006,10011,8005,703,1719,5583,1023508563,56077,38453,17624,23840,7648,2818,11428,5052,6948,3528,3973,3629
2005-01-26,101407,43291,17785,4570,40331,35761,1529,8522,25710,1023534273,149866,76677,73189,65200,38403,5464,23782,12454,42635,1525,2406,3467
2005-01-27,39853,17982,15600,1184,6271,5087,983,885,3219,1023537492,37200,20217,16983,22246,7742,1069,11164,2778,10443,1921,2623,3603
2005-01-28,68576,32249,15407,3090,20920,17830,1149,4405,12276,1023549768,78237,49251,28986,34446,13107,2681,20443,8296,18219,2202,3619,3571
2005-01-29,98386,45558,18312,4235,34516,30281,1609,6705,21967,1023571735,117090,62092,54998,48366,27575,2561,18924,7269,22700,2325,4386,3706
2005-01-30,59773,21770,15057,2343,22946,20603,896,3654,16053,1023587788,94761,45555,49206,40200,23383,2753,13330,6262,28235,816,2084,3462
2005-01-31,29793,10647,12614,996,6532,5536,591,968,3977,1023591765,36258,22561,13697,17285,7178,949,7916,1627,6568,920,1470,3536
2005-02-01,62617,28393,15653,3462,18571,15109,694,3856,10559,1023602324,98345,39390,58955,50919,25134,1442,17100,6954,42297,1965,1666,3432
2005-02-02,51308,24166,11874,2358,15268,12910,1020,2373,9517,1023611841,65942,29201,36741,32736,21077,2793,13681,6959,17134,1080,2302,3767
2005-02-03,23756,9300,11274,1312,3182,1870,665,290,915,1023612756,22447,15595,6852,9225,3672,699,4554,2606,4129,1033,2201,3708
2005-02-04,55289,22242,17114,1990,15933,13943,950,3591,9402,1023622158,56894,23524,33370,27126,16659,1865,11232,6451,20880,1685,2065,3743
2005-02-05,61664,26044,23893,2775,11727,8952,1783,1682,5487,1023627645,92179,56068,36111,49825,17272,2688,9270,6125,11710,1782,3297,3630
2005-02-06,61838,30049,15041,2537,16748,14211,1804,3078,9329,1023636974,77410,52138,25272,45769,12521,2056,11967,7820,14182,1954,2257,3714
2005-02-07,56927,27363,16598,3410,12966,9556,1357,1894,6305,1023643279,81168,39388,41780,43064,20911,3772,15811,4406,14038,2046,3566,3409
2005-02-08,41328,20871,12805,1129,7652,6523,423,1098,5002,1023648281,38786,16705,22081,19599,12043,1300,8796,5214,15510,810,1952,3425
2005-02-09,83725,33159,23853,4945,26713,21768,1019,3898,16851,1023665132,129982,80615,49367,65642,27902,2495,23227,5378,35110,3123,2563,3908
2005-02-10,48335,19399,11389,2558,17547,14989,823,3740,10426,1023675558,59013,37233,21780,33984,8966,2211,12697,3005,14702,1528,1862,3660
2005-02-11,72916,26680,22053,3681,24183,20502,2166,4079,14257,1023689815,97368,44469,52899,47786,28157,1926,17447,6307,20233,2034,5251,3867
2005-02-12,61326,28261,24043,2721,9022,6301,1540,915,3846,1023693661,63586,36839,26747,33387,10960,3069,16898,5613,12414,3012,5228,3691
2005-02-13,39817,17618,13806,1412,8393,6981,419,1373,5189,1023698850,54059,27759,26300,22893,14739,1723,9719,3681,17639,1315,1540,3446
2005-02-14,96932,39168,14129,4321,43635,39314,2419,9153,27742,1023726592,138456,93618,44838,76288,25132,5398,14991,7960,20772,1081,3438,3545
2005-02-15,97499,51885,17834,4891,27780,22889,1608,5640,15641,1023742233,88560,49864,38696,43867,23080,3066,27687,9610,28576,1020,2577,3585
2005-02-16,63883,27226,20310,2041,16347,14306,476,2645,11185,1023753418,71195,43769,27426,29327,13195,1574,18100,5745,9561,2116,3008,3412
2005-02-17,121305,47528,17615,5546,56162,50616,2169,11971,36476,1023789894,145696,85619,60077,82687,30065,3161,34214,9955,26226,1874,3721,3606
2005-02-18,125437,59493,12936,3806,53008,49202,1952,12817,34433,1023824327,125512,52453,73059,72191,30084,3419,33485,9647,57932,1345,1958,3568
2005-02-19,63315,34611,6108,2543,22596,20053,994,4325,14734,1023839061,61003,27128,33875,29585,14341,2668,10835,6855,19257,734,1287,3634
2005-02-20,63838,27119,14717,1742,22002,20260,1801,4062,14397,1023853458,67719,30948,36771,30971,20360,2334,11916,8061,25959,1341,2293,3497
2005-02-21,63915,25613,20392,2308,17910,15602,797,3008,11797,1023865255,80803,33462,47341,39357,26111,3434,16850,7589,23759,2849,4902,3759
2005-02-22,53360,23028,14541,1746,15791,14045,448,2725,10872,1023876127,57593,29598,27995,23738,12948,2727,15946,5036,8421,1119,3262,3523
2005-02-23,52648,26015,16441,2631,10192,7561,623,1902,5036,1023881163,72319,43865,28454,34344,13470,3275,13990,5824,10359,1648,3883,3392
2005-02-24,124030,45218,14456,6135,64356,58221,2676,13789,41756,1023922919,176592,74498,102094,104462,56975,3411,32135,6786,46102,1186,3188,3590
2005-02-25,37860,18356,11052,1439,8452,7013,1119,1065,4829,1023927748,56642,33560,23082,27559,13548,2558,10717,5183,10790,1347,1815,3992
2005-02-26,55777,26514,18267,3246,10996,7750,1484,1678,4588,1023932336,73451,49207,24244,33551,12379,1608,12484,4004,16775,1605,2390,3283
2005-02-27,53303,23224,12739,1357,17340,15983,1024,4147,10812,1023943148,73769,49276,24493,34592,11257,2207,12637,4311,15084,1086,1925,3533
2005-02-28,35829,17204,7973,1285,10652,9367,482,2262,6623,1023949771,39511,22108,17403,19671,7288,1135,9386,3584,9576,751,885,3398
2005-03-01,40521,16452,15160,889,8909,8020,1177,1263,5580,1023955351,55173,37634,17539,31002,9907,1368,11175,4182,6886,2240,3173,3691
2005-03-02,85002,36769,9796,3709,38437,34728,2046,6796,25886,1023981237,115442,72959,42483,52700,19222,2263,15880,10260,21119,820,2268,3576
2005-03-03,66475,35979,13340,1981,17156,15175,452,3120,11603,1023992840,84278,38442,45836,47328,27465,4220,11917,9302,20822,1149,2852,3656
2005-03-04,43582,22590,9512,2535,11480,8945,1230,1987,5728,1023998568,44060,26960,17100,18656,8270,2842,6881,5353,7210,950,2354,3842
2005-03-05,53461,28147,15464,2162,9850,7688,416,1904,5368,1024003936,57280,26305,30975,27387,16920,2712,9111,6308,19225,2258,2804,3679
2005-03-06,77971,29339,17702,2872,30930,28058,1609,5347,21102,1024025038,99010,39843,59167,59136,29964,2231,19092,5952,32772,2587,3260,3454
2005-03-07,118770,54852,8523,5979,55395,49416,3478,9659,36279,1024061317,144984,73623,71361,74535,39087,4468,33278,12094,41056,502,1801,3412
2005-03-08,40134,15048,21789,1889,3297,1408,1018,103,287,1024061604,52704,36524,16180,21286,7974,2167,11979,4325,4862,1119,5412,3456
2005-03-09,33098,17059,19359,1118,-3320,-4438,437,0,-4875,1024056729,36882,20531,16351,22059,7312,1143,8587,3967,8862,2872,3432,3693
2005-03-10,86444,44338,13601,4114,28505,24391,1351,4925,18115,1024074844,81420,45516,35904,41073,20638,6115,15317,9245,17797,1977,2095,3542
2005-03-11,45190,16110,17975,2090,11105,9015,1190,1821,6004,1024080848,41511,22075,19436,18285,10480,1734,12234,4510,7944,922,2112,3580
2005-03-12,84298,45014,10841,2793,28443,25650,2451,4892,18307,1024099155,123461,77106,46355,54855,20419,5115,13697,11084,36585,1333,2315,3582
2005-03-13,39187,20313,17811,2048,1063,-985,461,0,-1446,1024097709,61347,28787,32560,26481,15987,2554,11313,5119,24862,2311,3024,3503
2005-03-14,35373,18333,13696,1630,3344,1714,862,160,692,1024098401,53132,34991,18141,26562,9942,2289,6331,4669,8979,1910,2469,3590
2005-03-15,42664,17257,14267,1328,11140,9812,770,2043,6999,1024105400,61403,40778,20625,24570,10844,1554,9914,3114,12537,852,2540,3567
2005-03-16,100112,41858,14532,2490,43722,41232,2086,9177,29969,1024135369,106061,47068,58993,45682,32645,2450,26159,6865,28463,1714,3083,3621
2005-03-17,121494,49177,16824,6394,55493,49099,2163,12083,34853,1024170222,147492,91718,55774,64454,23305,3428,28866,14343,23406,1112,3569,3436
2005-03-18,69267,38084,19956,3570,11227,7657,1515,1530,4612,1024174834,106899,56358,50541,45410,21064,4629,14286,5986,23913,1842,3464,3572
2005-03-19,45765,22933,11516,2072,11316,9244,868,1550,6826,1024181660,59423,36371,23052,33633,9283,2486,11364,6585,17440,1641,2818,3408
2005-03-20,72395,35272,13443,1879,23680,21801,1146,4792,15863,1024197523,105494,60117,45377,42735,19880,3320,16267,7131,20605,1648,2935,3486
2005-03-21,88864,33347,9224,4724,46293,41569,2003,9497,30069,1024227592,122101,54793,67308,55742,34868,1975,19605,9906,33250,1064,1987,3398
2005-03-22,50510,18650,16174,2005,15686,13681,807,3090,9784,1024237376,53171,31899,21272,24111,12028,2607,13913,5047,7496,2074,3462,3520
2005-03-23,58714,22043,15508,3440,21163,17723,896,3183,13644,1024251020,57315,26730,30585,28587,12686,1127,12081,5951,13772,1141,3238,3700
2005-03-24,79667,43420,13910,4560,22337,17777,1154,4636,11987,1024263007,96687,60739,35948,38886,14476,4749,16372,11309,18531,1193,2664,3605
2005-03-25,75204,35592,21024,2657,18588,15931,976,3585,11370,1024274377,112041,57847,54194,59766,25918,5272,16734,6579,29721,2498,2595,3297
2005-03-26,57714,30696,13841,2324,13177,10853,646,2056,8151,1024282528,65830,38705,27125,37916,13306,2161,9291,8064,19548,1909,2686,3544
2005-03-27,96065,38283,15065,2054,42717,40663,1578,7666,31419,1024313947,102968,65729,37239,41722,20678,5104,21470,7331,20343,2236,2347,3487
2005-03-28,55835,27393,21234,1680,7208,5528,1315,930,3283,1024317230,57646,24270,33376,25642,19780,3080,15929,4238,12002,1912,3789,3499
2005-03-29,56849,31065,11986,1616,13798,12182,1540,2632,8010,1024325240,60668,39467,21201,28456,10547,4315,9899,5448,8026,956,1481,3831
2005-03-30,148551,54350,11122,8119,83079,74960,2571,18359,54030,1024379270,170274,78091,92183,81470,53426,4198,32682,8923,59313,1438,1933,3590
2005-03-31,63573,28148,19459,2963,15966,13003,983,2919,9101,1024388371,77282,35018,42264,32395,17224,3042,9622,6641,12830,1126,2275,3603
2005-04-01,69827,32283,18698,2017,18846,16829,1088,3956,11785,1024400156,81961,44640,37321,35326,21786,2208,16547,8103,27306,2762,4313,3558
2005-04-02,62189,26518,10122,2830,25549,22719,323,4698,17698,1024417854,96292,63499,32793,44140,18908,3593,18568,4102,25740,1157,2279,3673
2005-04-03,135230,66279,10672,7624,58279,50655,3989,12926,33740,1024451594,207960,103270,104690,100195,60212,6646,33513,14963,79969,1012,1525,3558
2005-04-04,37290,16261,29217,1593,-8188,-9781,1021,0,-10802,1024440792,48742,20545,28197,22652,16645,1042,10374,3108,12411,3745,7191,3596
2005-04-05,80331,33227,6960,4059,40144,36085,1506,7109,27470,1024468262,108066,63531,44535,56696,24929,4258,22987,5408,31519,728,1438,3721
2005-04-06,72767,39653,19516,1540,13598,12058,1381,2938,7739,1024476001,112348,51645,60703,64898,32441,5203,11413,10221,24408,2185,2374,3567
2005-04-07,33192,16247,25524,807,-8579,-9386,785,0,-10171,1024465830,52884,32563,20321,28882,8313,2136,9614,4474,9227,2658,6308,3642
2005-04-08,45191,20337,12133,2651,12721,10070,347,2599,7124,1024472954,46426,23089,23337,25929,9484,2826,7925,5157,14224,934,2165,3718
2005-04-09,55646,24206,32440,1301,-1000,-2301,1622,0,-3923,1024469031,80862,36138,44724,46940,26793,1501,15677,6416,29563,3824,3449,3778
2005-04-10,51923,26875,16477,2959,8571,5612,501,1322,3789,1024472820,82008,52490,29518,44414,16713,3949,12445,6588,13435,1555,3114,3698
2005-04-11,47402,20711,17269,2123,9422,7299,977,1208,5114,1024477934,46519,29626,16893,19210,9168,1731,12992,3331,13471,2300,3526,3773
2005-04-12,50210,26948,12091,2879,11171,8292,1217,1344,5731,1024483665,49821,30663,19158,20252,10099,3961,8283,6558,8949,1243,2510,3538
2005-04-13,164831,58740,11525,6753,94566,87813,4571,15080,68162,1024551827,191492,92545,98947,98707,54570,3507,42540,10112,53273,648,2828,3722
2005-04-14,57914,20480,14083,3192,23351,20159,1531,4702,13926,1024565753,90377,36958,53419,44504,27429,1243,9128,4391,26964,871,1417,3697
2005-04-15,53032,23905,12808,2020,16319,14299,446,3001,10852,1024576605,73359,35804,37555,41587,20899,2239,7989,3764,18466,1250,2402,3641
2005-04-16,45173,16589,13326,1520,15258,13738,727,3629,9382,1024585987,70756,33688,37068,30814,15898,850,7407,4215,23769,1873,2036,3941
2005-04-17,29965,13863,9514,1320,6588,5268,703,1189,3376,1024589363,42268,17905,24363,17755,12428,1257,7995,2168,11414,721,2085,3530
2005-04-18,89521,37640,10750,3859,41131,37272,2382,8082,26808,1024616171,98699,63806,34893,40649,19188,3017,23306,10228,13008,574,2411,3558
2005-04-19,74128,37437,13013,2948,23678,20730,1769,3582,15379,1024631550,76368,45696,30672,36497,17766,2731,18584,7795,18920,1115,1977,3564
2005-04-20,41083,15215,19593,1138,6275,5137,996,1118,3023,1024634573,49958,21405,28553,22197,12626,1302,10643,2950,19388,2931,3396,3822
2005-04-21,49957,21076,15395,2193,13486,11293,456,2147,8690,1024643263,53441,31158,22283,24464,11628,1416,8240,3405,7477,1132,1840,3373
2005-04-22,33404,14940,13661,669,4803,4134,572,913,2649,1024645912,37007,16258,20749,20204,12109,955,8136,2409,7585,1075,2187,3854
2005-04-23,34907,15925,24126,1424,-5144,-6568,510,0,-7078,1024638834,45718,26533,19185,18361,9336,1929,8567,2581,7177,1592,5924,3409
2005-04-24,34801,17483,14440,902,2878,1976,961,245,770,1024639604,47273,23403,23870,25453,10566,2554,8520,3704,9848,1099,1650,3622
2005-04-25,83655,41865,14776,2228,27014,24786,1501,4589,18696,1024658300,103203,60280,42923,50083,20159,2702,16577,6576,28388,1700,1953,3589
2005-04-26,31525,13065,13538,785,4922,4137,812,781,2544,1024660844,48291,29583,18708,21888,10770,1951,5244,3450,8493,1609,2176,3826
2005-04-27,60311,22427,17000,2450,20884,18434,1615,3773,13046,1024673890,92155,56861,35294,44720,20877,3294,11450,4798,25664,1760,2037,3588
2005-04-28,37578,15873,11027,1558,10678,9120,666,2171,6283,1024680173,47743,25967,21776,21753,11895,861,11007,3601,9862,937,1636,3704
2005-04-29,26604,10876,15972,678,-244,-922,309,0,-1231,1024678942,39477,19151,20326,16250,8644,1062,7864,2068,13110,897,1694,3512
2005-04-30,78478,37606,18778,3717,22094,18377,692,4118,13567,1024692509,104975,52221,52754,59514,28440,5565,16629,7507,16267,2174,2854,3833
2005-05-01,85700,39105,9331,2994,37264,34270,1591,8502,24177,1024716686,114886,66930,47956,58643,21461,5446,18001,8086,33522,1201,1899,3953
2005-05-02,106542,43390,10261,4920,52891,47971,677,9381,37913,1024754599,140516,62357,78159,69895,42590,2961,31259,12338,49757,1059,1462,3864
2005-05-03,50012,18724,24772,1021,6516,5495,657,1000,3838,1024758437,48332,29293,19039,19718,10353,1368,11325,3368,10263,1903,3842,3668
2005-05-04,43623,17213,9657,1893,16753,14860,353,3299,11208,1024769645,51535,26333,25202,24516,14524,1441,10909,4099,17950,695,1805,3538
2005-05-05,65135,31529,17186,1468,16420,14952,1361,2752,10839,1024780484,94361,58769,35592,46493,20780,2091,19499,9046,14361,2298,2826,3703
2005-05-06,61528,27991,20976,3182,12561,9379,1294,2181,5904,1024786388,95418,59348,36070,54072,16680,1641,17514,6180,24024,1239,4100,3557
2005-05-07,111754,54090,25181,4424,32483,28059,2845,6488,18726,1024805114,162730,108750,53980,81130,27140,7441,17750,9952,37842,1566,4565,3713
2005-05-08,74220,34534,14223,1816,25463,23647,584,5801,17262,1024822376,72393,32393,40000,36366,17475,3766,19451,6875,31351,1901,2283,3575
2005-05-09,32456,15321,17230,1587,-95,-1682,619,0,-2301,1024820075,40075,25682,14393,16300,6653,1075,8887,4279,8972,1577,2758,3295
2005-05-10,87204,47263,14808,4095,25133,21038,2101,5264,13673,1024833748,126922,52808,74114,59156,35352,5723,19885,12729,42561,1308,3478,3708
2005-05-11,84968,37305,14064,1976,33599,31623,890,8005,22728,1024856476,92654,43264,49390,44679,24435,2820,17836,6993,18106,1280,1631,3801
2005-05-12,57442,30206,21884,2692,5352,2660,1694,242,724,1024857200,70981,38583,32398,30990,18773,3325,16315,5365,19220,2722,2806,3712
2005-05-13,63390,32944,26814,3170,3632,462,1850,0,-1388,1024855812,86491,37131,49360,41757,27881,4457,11604,7262,33425,2907,3587,3521
2005-05-14,114242,56572,18285,3573,39385,35812,1505,8598,25709,1024881521,181489,114794,66695,88202,29672,3643,29007,15672,32632,2571,3374,3812
2005-05-15,109052,42166,8261,5233,58625,53392,789,10274,42329,1024923850,100185,58987,41198,50509,17113,2182,18734,9351,14526,591,1673,3723
2005-05-16,34591,15009,13203,1664,6379,4715,204,922,3589,1024927439,37431,15847,21584,15687,11267,1142,7878,4263,11892,1857,1461,3679
2005-05-17,139210,56416,27883,4788,54911,50123,3838,9771,36514,1024963953,170381,109025,61356,76143,35492,5199,27240,12853,24504,2133,3575,3966
2005-05-18,59073,32206,15415,3409,11452,8043,793,1905,5345,1024969298,88739,43647,45092,39220,19746,3853,14962,5925,33018,1422,2181,3728
2005-05-19,50440,19136,26764,2789,4540,1751,446,266,1039,1024970337,60737,31140,29597,35500,12854,2748,14451,3563,10474,1818,4091,3603
2005-05-20,81399,29673,10875,4842,40851,36009,918,8641,26450,1024996787,91497,61176,30321,41184,13611,2379,22048,7632,23042,671,2232,3931
2005-05-21,51368,23337,12355,2966,15676,12710,1415,2900,8395,1025005182,72641,36319,36322,42672,15690,1418,15029,6341,23831,1213,1419,3524
2005-05-22,46153,21905,17382,1597,6866,5269,477,1270,3522,1025008704,42023,21415,20608,19384,10355,2443,9418,5240,13854,1443,2716,3527
2005-05-23,64941,30506,17106,3717,17329,13612,732,2516,10364,1025019068,66691,28130,38561,29986,22232,4433,15931,7195,19917,2478,2245,3681
2005-05-24,56763,27285,17063,1778,12415,10637,1392,1909,7336,1025026404,89670,41783,47887,44313,23809,2603,12940,8096,31893,1387,1901,3669
2005-05-25,108464,42152,12248,5412,54064,48652,2306,10938,35408,1025061812,170897,106893,64004,90826,28171,4403,16529,7651,30722,1453,2129,3690
2005-05-26,56358,28230,14199,1920,13929,12009,1341,2158,8510,1025070322,82626,36073,46553,38791,25513,3533,16507,7151,31373,1206,3521,3588
2005-05-27,98891,36407,9931,5234,52553,47319,564,10212,36543,1025106865,89309,54907,34402,48557,20498,1911,25090,8456,14452,802,2237,3690
2005-05-28,69764,30467,15288,3508,24009,20501,2002,3770,14729,1025121594,75950,36884,39066,43258,18009,4443,11135,6134,30921,1490,2443,3538
2005-05-29,25979,10359,7594,1176,8026,6850,678,1309,4863,1025126457,26489,13466,13023,14042,6833,1223,4065,2654,6737,577,1359,3822
2005-05-30,57670,28510,13415,2565,15745,13180,1622,3190,8368,1025134825,81773,52523,29250,45023,14575,2693,10071,6600,12025,1870,2142,3720
2005-05-31,22055,8898,18614,832,-5457,-6289,186,0,-6475,1025128350,24090,15534,8556,14283,4341,913,3933,2523,3213,1617,1915,3851
2005-06-01,52599,24782,19161,1250,8656,7406,1548,1213,4645,1025132995,68679,41822,26857,37452,15776,2153,13518,4956,19732,974,2115,3850
2005-06-02,75318,27623,14173,2591,33522,30931,1904,7094,21933,1025154928,79637,55704,23933,36579,13928,3921,13116,5820,17648,1648,2998,3603
2005-06-03,69405,34453,17631,2461,17321,14860,877,2785,11198,1025166126,64701,30850,33851,35103,13801,3104,17818,5355,15049,2027,2281,3766
2005-06-04,63308,25090,12109,2753,26109,23356,1242,6079,16035,1025182161,88831,45102,43729,45164,23155,1642,18390,3883,20828,1158,1560,4111
2005-06-05,91334,32216,10712,3382,48406,45024,2569,8235,34220,1025216381,84743,45997,38746,46874,22939,2016,25473,5117,18693,1090,2495,3838
2005-06-06,55085,24798,11680,1777,18607,16830,1646,3615,11569,1025227950,60700,41448,19252,29502,10096,1703,13540,4570,6820,1489,1375,3429
2005-06-07,75827,37496,17080,2329,21251,18922,767,3441,14714,1025242664,82026,49469,32557,35602,17640,2990,18881,7775,12065,1373,2177,3624
2005-06-08,43287,21501,7464,1331,14322,12991,507,2828,9656,1025252320,47428,25275,22153,19124,12740,2560,12552,4580,12697,1056,985,3730
2005-06-09,57532,29551,19461,2266,8520,6254,1246,1343,3665,1025255985,84247,57009,27238,33838,14351,3847,16804,4927,9067,2893,3152,3831
