week,revenue,cogs,opex,depreciation,ebitda,ebit,interest_expense,tax,net_income,cash,total_assets,total_equity,total_liabilities,current_assets,current_liabilities,inventory,accounts_receivable,accounts_payable,debt,capex,dividends,r_and_d,marketing_expense,employee_count
2008-08-31,23435,11253,3645,1234,8537,7303,661,1580,5062,500610141,34273,19743,14530,20115,8305,1557,4257,2388,7824,1181,340,228,636,390
2008-09-07,17998,8218,4264,997,5516,4519,120,875,3524,500613665,28741,18677,10064,13980,5509,480,3344,1892,5191,1125,213,424,612,477
2008-09-14,9990,4145,3405,234,2440,2206,187,545,1474,500615139,10758,4536,6222,5463,2757,421,2874,634,3860,435,174,326,734,463
2008-09-21,17583,7325,5020,730,5238,4508,348,1029,3131,500618270,21201,12873,8328,10372,3996,531,2843,1273,6432,866,400,255,602,411
2008-09-28,19146,9265,6351,1082,3530,2448,408,496,1544,500619814,24203,13559,10644,12415,5339,844,4099,2282,3791,884,155,599,1364,386
2008-10-05,11557,6343,6688,410,-1474,-1884,132,0,-2016,500617798,12787,6569,6218,6318,3495,873,2656,1634,3270,238,0,581,1490,374
2008-10-12,17597,8488,4706,936,4403,3467,248,774,2445,500620243,16025,8046,7979,6564,4531,872,5012,2015,3161,419,228,551,559,491
2008-10-19,17071,7879,4449,433,4743,4310,445,742,3123,500623366,17994,10549,7445,10372,4333,657,5115,1351,5562,739,277,640,1097,450
2008-10-26,10666,5292,5659,612,-285,-897,105,0,-1002,500622364,11704,7810,3894,5722,1954,375,2805,1147,3046,563,0,331,1402,456
2008-11-02,19682,8720,4417,985,6545,5560,505,1176,3879,500626243,23825,13076,10749,12336,5792,1134,5818,1772,5797,313,492,365,1062,406
2008-11-09,21653,7839,9037,1248,4777,3529,413,686,2430,500628673,22081,14296,7785,9447,3288,882,5804,1759,2740,694,172,853,1576,376
2008-11-16,27111,12538,3438,1276,11135,9859,652,2199,7008,500635681,40972,21332,19640,16417,10076,1214,7984,3518,13604,922,620,328,471,499
2008-11-23,27263,14764,5453,942,7046,6104,623,1035,4446,500640127,37989,16363,21626,17059,9726,1059,6982,3933,14026,722,464,695,1021,454
2008-11-30,10499,4043,9751,604,-3295,-3899,107,0,-4006,500636121,10075,4216,5859,5450,2849,337,1700,657,2797,305,0,920,1589,499
2008-12-07,12761,6227,5815,396,719,323,245,15,63,500636184,17292,7183,10109,7260,5326,909,2683,1766,7518,592,6,307,761,436
2008-12-14,23270,9080,4887,775,9303,8528,621,2204,5703,500641887,31590,16239,15351,18378,6929,926,5747,2005,12095,328,747,591,799,446
2008-12-21,23725,10846,4783,1140,8096,6956,375,1554,5027,500646914,37233,18660,18573,16494,7623,977,4807,2837,10752,1534,637,662,955,495
2008-12-28,24212,8942,4592,1225,10678,9453,706,2176,6571,500653485,21842,13441,8401,9631,3378,913,4625,1529,4897,935,660,466,508,498
2009-01-04,93821,41288,7440,5364,45093,39729,1530,8119,30080,500683565,100722,62734,37988,43945,15364,5281,22199,10347,17047,4897,4074,804,1116,503
2009-01-11,25727,12895,2640,725,10192,9467,220,1752,7495,500691060,39863,16553,23310,16057,9363,1083,7461,2391,13805,687,938,175,271,450
2009-01-18,32835,13775,7739,1705,11321,9616,484,2535,6597,500697657,50976,23772,27204,28259,11482,935,5098,2972,14141,1722,843,558,1644,497
2009-01-25,31062,15002,3617,1539,12443,10904,894,2088,7922,500705579,43624,21039,22585,25084,10116,1628,8243,2288,10188,1181,1154,266,709,523
2009-02-01,27963,14236,4922,631,8805,8174,363,1737,6074,500711653,40156,22659,17497,20995,7773,1659,7226,2459,5837,939,466,458,538,464
2009-02-08,19275,10321,4811,684,4143,3459,515,721,2223,500713876,18582,8238,10344,8132,6179,1252,5678,1691,4410,606,171,687,1177,446
2009-02-15,30012,11913,6055,940,12044,11104,811,1878,8415,500722291,37807,16642,21165,17280,9761,1646,8692,2215,8443,1561,1169,619,626,540
2009-02-22,16451,7072,3229,529,6150,5621,226,1408,3987,500726278,17473,11936,5537,8652,2356,616,4349,1167,3162,191,507,223,609,442
2009-03-01,20587,7833,6460,1221,6294,5073,146,1151,3776,500730054,21140,13556,7584,12491,3861,451,4695,1988,4557,1031,539,495,1398,508
2009-03-08,18789,10306,10940,859,-2457,-3316,434,0,-3750,500726304,27567,12521,15046,12391,8600,1503,3394,1591,9092,1169,0,967,2387,475
2009-03-15,23723,12701,3302,1155,7720,6565,303,1166,5096,500731400,23593,12315,11278,12890,6041,1188,5499,3082,5572,945,575,371,347,388
2009-03-22,58201,26656,6242,3438,25303,21865,1430,4010,16425,500747825,71474,36215,35259,34871,16192,2994,15412,4561,18004,2889,1059,587,1473,538
2009-03-29,10953,5678,4560,384,715,331,176,42,113,500747938,17054,10869,6185,7837,3169,662,3114,1657,4435,436,11,407,1084,346
2009-04-05,30435,13823,6314,1585,10298,8713,521,2037,6155,500754093,31351,17339,14012,15399,7608,1447,8170,4008,7540,1256,404,672,1163,386
2009-04-12,12118,5753,5527,453,838,385,296,18,71,500754164,19202,8417,10785,7954,5885,406,2173,1058,8562,489,4,410,952,513
2009-04-19,19063,7012,4149,1044,7902,6858,278,1228,5352,500759516,30425,18915,11510,17030,6138,880,4574,1698,5983,1398,274,240,443,515
2009-04-26,35413,17744,5857,964,11812,10848,569,2560,7719,500767235,45645,23693,21952,20479,12604,2313,7076,2736,13715,780,872,307,1079,459
2009-05-03,23346,8767,9675,1352,4904,3552,336,763,2453,500769688,23792,11393,12399,12969,7117,923,3534,2540,4032,516,211,727,1562,500
2009-05-10,14660,7553,5054,421,2053,1632,208,314,1110,500770798,16438,8427,8011,6800,4132,747,2639,1725,5020,527,67,299,1091,367
2009-05-17,16777,8496,7444,554,837,283,304,0,-21,500770777,20085,11033,9052,11871,4399,522,2801,1329,6569,457,0,623,1195,531
2009-05-24,28975,14248,3691,1456,11036,9580,731,1785,7064,500777841,32351,16270,16081,14189,8496,832,8009,2869,12402,872,473,470,748,510
2009-05-31,16274,5814,3870,582,6590,6008,229,1427,4352,500782193,17844,8433,9411,10288,5304,488,3072,939,7516,530,627,471,446,497
2009-06-07,23435,9623,6683,1039,7129,6090,424,1570,4096,500786289,37040,19244,17796,20813,7139,780,4516,2011,7850,1639,336,742,802,502
2009-06-14,21559,8680,8334,815,4545,3730,469,644,2617,500788906,21718,8812,12906,12891,7723,1262,6338,2174,7585,672,218,1127,1008,527
2009-06-21,16056,6776,6237,798,3043,2245,188,493,1564,500790470,22692,14336,8356,11246,3648,870,3321,1494,4390,556,210,488,666,503
2009-06-28,48321,17759,5287,1408,25275,23867,577,5180,18110,500808580,43503,19632,23871,23730,11793,2060,7318,3686,13891,866,2079,732,958,412
2009-07-05,25974,13958,6041,580,5975,5395,736,1047,3612,500812192,34216,14137,20079,16223,11533,1420,5002,2343,7604,901,437,543,1324,618
2009-07-12,8817,4063,4075,282,679,397,204,40,153,500812345,13588,8100,5488,5936,2442,271,1480,759,3996,416,17,367,781,570
2009-07-19,21003,8634,6964,819,5405,4586,408,1097,3081,500815426,23136,14626,8510,11305,4216,1276,3474,1425,6423,922,446,630,1297,447
2009-07-26,14721,6321,7585,393,815,422,312,25,85,500815511,15161,9766,5395,6567,2301,553,2379,1714,2831,225,6,454,1533,496
2009-08-02,26565,11674,5352,908,9539,8631,152,1987,6492,500822003,36027,19745,16282,21487,7799,709,6349,1988,7168,680,967,790,808,503
2009-08-09,13564,6377,4695,488,2492,2004,277,363,1364,500823367,18974,8759,10215,7955,4448,634,2420,1526,3784,478,182,300,724,570
2009-08-16,17561,7958,5503,392,4100,3708,311,673,2724,500826091,24263,15071,9192,12564,4345,1093,3586,1603,5900,592,297,463,810,410
2009-08-23,22250,11879,4732,964,5639,4675,415,803,3457,500829548,24998,15247,9751,13131,4629,1648,6214,2185,4448,642,402,388,979,495
2009-08-30,25467,11445,5237,1410,8785,7375,356,1765,5254,500834802,27416,12992,14424,13917,8635,585,5441,2815,10887,1144,604,301,651,434
2009-09-06,11065,6068,10988,288,-5991,-6279,78,0,-6357,500828445,17363,11651,5712,9245,3421,841,3180,1326,3630,399,0,717,1120,509
2009-09-13,15570,8101,5413,684,2056,1372,153,304,915,500829360,24076,10384,13692,10190,5791,625,3498,1701,8528,724,66,295,1025,501
2009-09-20,14684,5752,5202,684,3730,3046,422,575,2049,500831409,17916,12448,5468,9155,2981,310,3081,1374,3170,626,299,412,1256,531
2009-09-27,13675,7331,4235,503,2109,1606,208,310,1088,500832497,20408,13430,6978,9335,2863,988,3590,1640,2253,394,113,579,811,498
2009-10-04,36084,13469,7455,1734,15160,13426,601,2910,9915,500842412,43901,26620,17281,25815,7017,1837,5809,2633,13237,1701,871,626,1621,493
2009-10-11,21051,10809,5218,767,5024,4257,133,894,3230,500845642,25200,17177,8023,13921,3378,1185,3440,2528,4926,803,408,325,1048,563
2009-10-18,10895,4643,4862,438,1390,952,65,169,718,500846360,11001,6784,4217,6540,2501,499,2700,1163,3361,307,74,557,849,557
2009-10-25,26309,13828,8610,534,3871,3337,603,577,2157,500848517,31531,14414,17117,12849,10068,1816,5868,2130,9734,1337,111,1289,1789,563
2009-11-01,43113,22574,8505,2055,12034,9979,796,2262,6921,500855438,55020,29306,25714,25146,11283,2904,11579,4964,16844,1086,856,623,1902,528
2009-11-08,28277,14455,4447,1314,9375,8061,501,1864,5696,500861134,25895,10913,14982,11370,6477,2009,8128,2293,4916,1174,702,347,595,510
2009-11-15,10351,5258,3019,223,2074,1851,115,362,1374,500862508,12534,6479,6055,5042,2713,554,2156,936,3729,407,91,444,454,535
2009-11-22,15932,6547,8310,553,1075,522,376,33,113,500862621,23053,14350,8703,10338,4379,961,3815,1532,5938,792,16,564,1110,568
2009-11-29,32688,11970,5091,1934,15627,13693,301,2670,10722,500873343,44980,23207,21773,24098,11190,1791,7358,3351,15007,2024,776,515,854,435
2009-12-06,15123,6512,7543,557,1068,511,147,73,291,500873634,20335,10149,10186,9074,4526,401,4495,1839,6978,868,28,558,1756,566
2009-12-13,24443,9403,2950,980,12090,11110,404,1952,8754,500882388,37561,21733,15828,18848,8726,1269,6714,1509,6539,1279,538,423,448,563
2009-12-20,28458,13916,7425,1605,7117,5512,346,1393,3773,500886161,25971,17184,8787,15000,4059,1391,8161,2962,6922,1042,416,1100,1160,553
2009-12-27,14694,6160,4219,715,4315,3600,164,691,2745,500888906,18954,7852,11102,10211,6488,547,2765,1463,8855,518,240,555,966,544
2010-01-03,21195,11554,7640,917,2001,1084,448,129,507,500889413,30757,15860,14897,14730,7915,1286,5635,1988,5032,981,43,622,1355,425
2010-01-10,6049,2893,5398,314,-2242,-2556,129,0,-2685,500886728,7736,3462,4274,3671,2083,161,1148,766,3283,97,0,488,973,533
2010-01-17,14948,7691,3939,816,3318,2502,383,408,1711,500888439,16842,10250,6592,8272,3678,774,2710,2012,2932,229,87,292,903,646
2010-01-24,20704,7795,5384,792,7525,6733,320,1564,4849,500893288,20608,8897,11711,8973,6600,1069,6038,2225,7549,890,629,749,935,559
2010-01-31,14126,7379,6974,551,-227,-778,96,0,-874,500892414,21490,12882,8608,11321,3943,526,2160,1116,4038,266,0,987,1410,544
2010-02-07,45358,24246,5744,1608,15368,13760,537,2558,10665,500903079,55769,27096,28673,26369,13417,2246,13372,4425,22476,936,1585,528,648,562
2010-02-14,13498,6039,6303,792,1156,364,398,0,-34,500903045,20445,9398,11047,11663,6487,869,2327,1655,3875,855,0,729,799,581
2010-02-21,20288,9561,10704,972,23,-949,404,0,-1353,500901692,26579,18098,8481,14653,3672,888,5537,2396,4655,267,0,712,1720,598
2010-02-28,25740,12946,3934,600,8860,8260,585,1925,5750,500907442,35314,14322,20992,18438,8574,1111,4926,3679,10790,752,317,368,685,555
2010-03-07,43826,16872,10435,2389,16519,14130,227,3278,10625,500918067,64117,34067,30050,30317,14749,1587,8879,2676,13914,2139,1470,1181,2555,590
2010-03-14,13950,6285,6161,547,1504,957,250,145,562,500918629,18992,7720,11272,8394,6315,641,2546,1506,7020,642,75,545,1513,654
2010-03-21,39621,17026,4520,901,18075,17174,235,4151,12788,500931417,46699,25455,21244,25929,11776,1927,9423,4007,7765,1919,1082,388,1029,622
2010-03-28,25042,9498,3636,1051,11908,10857,482,1988,8387,500939804,31541,17357,14184,15685,8282,1235,5064,1476,9338,954,938,182,536,691
2010-04-04,16849,7136,5647,618,4066,3448,472,695,2281,500942085,24635,12231,12404,10961,6284,679,4189,1620,9803,748,226,737,1381,543
2010-04-11,29973,10899,7627,1652,11447,9795,876,1995,6924,500949009,34815,15306,19509,15285,8194,1436,4566,2631,13701,1358,1016,1060,1551,661
2010-04-18,26891,9551,5835,757,11505,10748,498,2120,8130,500957139,31508,16161,15347,13645,7946,987,4293,1707,11203,944,1179,857,927,539
2010-04-25,19432,7327,9144,1031,2961,1930,320,387,1223,500958362,18790,11306,7484,10437,4159,614,3205,1399,3591,645,181,1115,1877,598
2010-05-02,25230,13690,3651,1067,7889,6822,722,1630,4470,500962832,38859,24665,14194,17323,5943,1585,5370,3368,6564,1784,611,383,374,619
2010-05-09,20851,9589,5458,463,5804,5341,455,1368,3518,500966350,20095,11238,8857,10155,3849,1168,5676,2112,4947,524,496,420,665,559
2010-05-16,25197,13686,3947,1483,7564,6081,167,1424,4490,500970840,34110,19680,14430,16724,5807,1448,7136,3814,4659,867,322,592,886,590
2010-05-23,31016,13538,6128,1256,11350,10094,516,2112,7466,500978306,36885,16974,19911,19030,10328,754,5791,2726,15385,374,994,668,1206,633
2010-05-30,44304,18269,7305,1402,18730,17328,488,3410,13430,500991736,52453,25503,26950,30183,15559,1224,10463,3471,10023,1812,1623,863,1130,554
2010-06-06,14117,6370,5798,547,1949,1402,236,240,926,500992662,19421,8712,10709,11139,5720,500,3745,1897,8048,217,135,686,1015,675
2010-06-13,53546,23448,2717,2908,27381,24473,877,5379,18217,501010879,50706,24075,26631,24857,15883,1835,10352,6722,9102,1530,1952,366,641,524
2010-06-20,10283,3816,6420,331,47,-284,201,0,-485,501010394,13528,6324,7204,5453,2972,448,2173,589,5124,570,0,327,1250,692
2010-06-27,20782,9937,7374,576,3471,2895,289,707,1899,501012293,29935,16639,13296,14527,7720,515,4751,2639,4999,958,208,531,1178,646
2010-07-04,27475,10803,7478,691,9194,8503,250,1789,6464,501018757,40656,23125,17531,21191,9867,1357,4677,1799,5594,845,767,872,883,594
2010-07-11,23889,11321,8888,762,3680,2918,420,543,1955,501020712,24352,16644,7708,12457,3568,866,3676,1745,5085,1009,141,1240,1280,580
2010-07-18,16366,7856,4656,838,3854,3016,422,566,2028,501022740,25010,11471,13539,13262,8052,636,2830,1501,5959,520,181,552,1149,576
2010-07-25,19007,7230,7165,739,4612,3873,411,913,2549,501025289,25836,15308,10528,11131,4817,743,4638,1377,6920,1016,280,655,1187,596
2010-08-01,16701,6050,8330,486,2321,1835,225,395,1215,501026504,25340,16349,8991,13413,5196,433,2690,1651,5193,872,106,718,1423,603
2010-08-08,15840,8017,3490,422,4333,3911,450,836,2625,501029129,19637,11155,8482,8572,4887,1110,2827,2057,3006,330,230,432,610,669
2010-08-15,27804,12288,6919,926,8597,7671,773,1472,5426,501034555,35573,16951,18622,19569,10271,719,5580,3653,14266,1644,344,859,1609,707
2010-08-22,22575,8164,5421,1300,8990,7690,231,1953,5506,501040061,34841,16681,18160,16299,9311,771,3650,2096,9555,628,793,600,1033,620
2010-08-29,14695,8067,5726,496,902,406,88,58,260,501040321,22482,9258,13224,12185,5607,1089,2627,1716,8823,1115,33,453,1168,570
2010-09-05,27585,9974,6275,1642,11336,9694,649,2416,6629,501046950,33480,16460,17020,13713,8619,1113,7908,2542,9370,345,332,894,994,586
2010-09-12,21659,10591,5419,854,5649,4795,556,980,3259,501050209,23654,14745,8909,11391,4199,839,3312,3176,5365,486,412,570,566,606
2010-09-19,26448,14460,4624,719,7364,6645,772,1291,4582,501054791,31082,12876,18206,16816,10167,1331,6559,3709,8218,559,568,597,1108,566
2010-09-26,24580,9779,6287,1368,8514,7146,670,1488,4988,501059779,28794,13412,15382,12824,8485,1180,5104,2584,6156,304,254,449,1524,560
2010-10-03,13751,5204,4599,528,3948,3420,275,776,2369,501062148,15137,9262,5875,8462,3420,767,3450,1513,3356,595,206,388,1115,725
2010-10-10,15392,5761,4613,745,5018,4273,281,724,3268,501065416,16747,10631,6116,8812,2465,803,3668,962,3181,632,362,634,1114,637
2010-10-17,26166,10745,7924,1553,7497,5944,149,1548,4247,501069663,39321,21099,18222,20349,10237,905,4802,2748,9021,1639,405,436,1761,582
2010-10-24,25020,9263,4689,551,11068,10517,279,2300,7938,501077601,23742,14469,9273,11176,5450,1388,6933,2572,5900,481,1014,475,950,667
2010-10-31,19673,9609,7533,470,2531,2061,324,372,1365,501078966,27037,13962,13075,13424,7294,484,4403,2817,8437,751,126,740,1708,569
2010-11-07,21085,7642,7423,1029,6020,4991,437,883,3671,501082637,21527,9644,11883,11183,5063,403,5764,1388,3838,783,240,929,1411,574
2010-11-14,34068,15395,3773,1065,14900,13835,645,2954,10236,501092873,38877,20194,18683,19224,7777,2038,7185,3473,8769,1073,1511,295,453,591
2010-11-21,16407,9013,4737,449,2657,2208,387,418,1403,501094276,15473,8881,6592,8350,2664,630,4884,2272,3335,586,104,341,752,715
2010-11-28,26346,13510,8031,568,4805,4237,316,864,3057,501097333,28690,19636,9054,13965,4760,758,6997,2528,3155,1014,372,1145,1973,622
2010-12-05,19897,9412,4427,415,6058,5643,381,1304,3958,501101291,28610,12034,16576,12601,8718,694,5867,2260,6928,417,255,474,676,514
2010-12-12,20162,8292,5348,1028,6522,5494,145,1188,4161,501105452,30636,16918,13718,13565,8195,768,4580,1564,4470,1263,345,323,1231,698
2010-12-19,34814,16529,7319,883,10966,10083,534,2637,6912,501112364,36731,18317,18414,14735,8832,2034,7696,3306,14697,1426,651,507,834,624
2010-12-26,31825,14493,8438,1232,8894,7662,756,1657,5249,501117613,38969,21530,17439,17933,8133,1629,8380,3134,11654,1412,363,1265,1267,549
2011-01-02,32290,14053,5437,1428,12800,11372,721,2777,7874,501125487,39692,16162,23530,21822,12351,1037,9107,3223,8088,643,748,378,830,627
2011-01-09,40054,15066,4834,1487,20154,18667,1192,3337,14138,501139625,60542,29902,30640,33833,17315,1512,11801,3275,9502,1254,929,537,521,671
2011-01-16,24394,12863,10480,514,1051,537,291,54,192,501139817,34980,22596,12384,15408,7274,1835,4847,2881,8169,900,20,964,1235,667
2011-01-23,32317,14218,9732,1659,8367,6708,564,1313,4831,501144648,40692,23039,17653,24082,9897,1870,8719,2770,9172,863,562,1348,1255,738
2011-01-30,22074,8585,8382,451,5107,4656,292,1034,3330,501147978,30231,16179,14052,15130,6820,707,4009,1492,9744,578,187,1052,1892,607
2011-02-06,28863,12225,6558,1457,10080,8623,462,2172,5989,501153967,43097,20930,22167,25143,11682,1812,6691,1921,16885,1819,821,719,718,654
2011-02-13,24379,10552,4979,1359,8848,7489,644,1286,5559,501159526,22104,10818,11286,11966,6447,1275,4315,1893,6768,785,381,254,721,619
2011-02-20,27002,13920,4505,1008,8577,7569,597,1306,5666,501165192,31917,16435,15482,17378,7712,783,5457,3303,6093,1041,411,622,457,578
2011-02-27,33275,16528,6726,1378,10021,8643,900,2052,5691,501170883,51079,33236,17843,21300,7910,885,9640,4428,12331,972,661,635,1374,701
2011-03-06,19055,9601,6597,745,2857,2112,192,386,1534,501172417,27024,18651,8373,11999,3633,642,3276,1684,6513,1263,149,944,1274,682
2011-03-13,61410,21629,9797,2184,29984,27800,1648,6456,19696,501192113,78604,41786,36818,31580,14728,2656,15037,3597,21727,1387,1968,975,1928,675
2011-03-20,17857,7736,7767,991,2354,1363,116,292,955,501193068,22692,11755,10937,12327,5946,529,4267,2030,7011,948,60,928,1213,684
2011-03-27,16467,7349,3825,918,5293,4375,448,1034,2893,501195961,18829,12314,6515,8829,2751,743,2768,1439,3054,916,378,218,502,630
2011-04-03,42549,15055,8947,1423,18547,17124,563,3188,13373,501209334,53797,28409,25388,29983,11393,893,8463,4407,12460,2103,1494,1114,1861,615
2011-04-10,36691,14748,5015,1637,16928,15291,472,2860,11959,501221293,49855,28198,21657,23322,9953,2096,8602,3792,14452,2479,760,420,1112,669
2011-04-17,34196,17168,5154,1952,11874,9922,609,2195,7118,501228411,40791,19143,21648,23001,11085,1449,6090,3417,16537,1470,622,439,623,727
2011-04-24,34075,12861,6870,1993,14344,12351,972,3125,8254,501236665,47702,29721,17981,20328,8624,1811,9203,2488,11049,892,1082,425,1189,751
2011-05-01,26188,11970,12057,1057,2161,1104,162,209,733,501237398,39357,22024,17333,17107,9272,1730,7747,2736,12045,714,78,780,1656,712
2011-05-08,18222,7162,15445,694,-4385,-5079,252,0,-5331,501232067,18373,11809,6564,8602,2699,362,3320,1159,2533,422,0,1059,1934,676
2011-05-15,26617,9380,7383,829,9854,9025,703,2003,6319,501238386,32368,20528,11840,15592,5029,904,4739,1573,4807,333,552,611,1552,690
2011-05-22,19465,7752,6204,1136,5509,4373,290,1115,2968,501241354,23078,10720,12358,10841,6177,407,4248,1367,6995,860,220,864,1121,678
2011-05-29,37205,20283,8133,957,8789,7832,371,1967,5494,501246848,51388,31588,19800,28404,9254,2857,9754,5400,7688,1066,559,706,1077,628
2011-06-05,23413,11948,8906,1011,2559,1548,366,330,852,501247700,25167,16107,9060,10555,4160,1217,4501,2713,5595,1072,114,1090,1305,683
2011-06-12,17578,9526,5941,550,2111,1561,257,238,1066,501248766,23698,11940,11758,11144,4861,548,2689,1444,5242,577,100,346,1456,616
2011-06-19,21163,9472,11547,659,144,-515,590,0,-1105,501247661,32046,14478,17568,18184,10174,578,4893,2378,12223,936,0,1260,2625,679
2011-06-26,27920,10385,6725,1011,10810,9799,671,2199,6929,501254590,33300,13346,19954,13765,10743,918,8194,2218,14049,1619,974,660,1560,768
2011-07-03,18573,8536,7711,1113,2326,1213,327,232,654,501255244,28560,15287,13273,16807,5632,1229,3876,1934,7060,562,70,1140,1303,729
2011-07-10,16466,7259,7844,366,1363,997,489,106,402,501255646,26267,13284,12983,15688,5362,866,3508,1322,5069,1020,43,1056,1518,644
2011-07-17,24800,12868,6893,1070,5039,3969,412,725,2832,501258478,24162,13687,10475,10093,6232,1760,7324,2995,6530,971,216,658,1079,688
2011-07-24,24411,9023,8676,569,6712,6143,158,1548,4437,501262915,25952,11845,14107,11893,7565,782,6205,2679,11235,489,491,1106,969,652
2011-07-31,17792,7965,5456,466,4371,3905,206,687,3012,501265927,27849,18322,9527,13214,4606,433,4588,1282,5824,837,324,378,874,692
2011-08-07,17791,6761,5343,669,5687,5018,283,1027,3708,501269635,27947,13340,14607,15518,7893,997,4170,1302,4643,671,333,568,1010,749
2011-08-14,23263,9653,5064,940,8546,7606,208,1706,5692,501275327,22528,10542,11986,11696,6607,499,6890,1800,3699,921,849,291,725,731
2011-08-21,11745,5843,6723,356,-821,-1177,337,0,-1514,501273813,10694,5820,4874,5656,2710,846,2975,1094,2243,373,0,570,1527,825
2011-08-28,11825,5265,7939,386,-1379,-1765,286,0,-2051,501271762,11976,6583,5393,6605,2673,457,3361,1089,2146,348,0,576,974,762
2011-09-04,15464,6575,6831,363,2058,1695,181,326,1188,501272950,24699,11473,13226,10462,6428,335,3942,1793,9345,1017,123,833,1059,714
2011-09-11,18830,8076,11388,605,-634,-1239,372,0,-1611,501271339,19320,9304,10016,10948,4028,960,4901,2317,7236,375,0,1128,1352,739
2011-09-18,23165,10236,6804,1359,6125,4766,534,1009,3223,501274562,28998,13076,15922,15692,9319,1515,4484,1846,6835,1164,221,851,1094,697
2011-09-25,36908,18712,7745,2133,10451,8318,1053,1706,5559,501280121,55137,33939,21198,28421,11037,2742,7216,4331,9811,2460,448,786,821,653
2011-10-02,28901,15272,4899,965,8730,7765,782,1704,5279,501285400,26424,16674,9750,15272,4296,1009,7730,3750,4077,1193,673,287,690,776
2011-10-09,19336,10462,5733,828,3141,2313,346,405,1562,501286962,25584,13782,11802,13817,6891,713,3761,2388,8901,1058,149,708,918,763
2011-10-16,20612,10458,8527,1162,1627,465,502,0,-37,501286925,22548,13850,8698,9929,5071,1114,4832,2250,4795,593,0,1137,1464,702
2011-10-23,14046,5802,8426,284,-182,-466,268,0,-734,501286191,21120,13111,8009,10263,4788,660,2632,1037,5030,1041,0,1183,1530,730
2011-10-30,21072,10275,5937,1105,4860,3755,397,680,2678,501288869,23146,10219,12927,11545,7431,1274,5743,2294,6564,583,270,636,839,780
2011-11-06,19179,8391,7031,1111,3757,2646,151,574,1921,501290790,26481,18268,8213,10885,4924,571,3195,1764,5055,941,220,881,1255,762
2011-11-13,24877,9974,3987,588,10916,10328,203,2673,7452,501298242,34130,22059,12071,20168,5419,1455,6827,2686,5950,561,758,499,703,648
2011-11-20,15973,8277,5500,423,2196,1773,291,371,1111,501299353,16852,7775,9077,7174,5160,943,3840,2190,4265,829,154,361,811,735
2011-11-27,27872,9969,8811,1629,9092,7463,327,1848,5288,501304641,25764,11745,14019,13899,7915,1343,4962,1696,8653,983,788,585,1978,716
2011-12-04,42599,22592,8634,1768,11373,9605,235,2015,7355,501311996,50543,22123,28420,25334,12681,2350,9853,3689,16925,2029,453,493,1570,782
2011-12-11,22524,9962,7539,463,5023,4560,520,891,3149,501315145,24831,10963,13868,10060,5820,911,4333,2851,6196,314,198,618,1130,780
2011-12-18,28172,13450,6167,854,8555,7701,164,1653,5884,501321029,41308,25795,15513,24163,9244,1987,5593,3098,5812,1674,371,600,1493,796
2011-12-25,32239,15535,6466,1225,10238,9013,641,1668,6704,501327733,47077,25464,21613,26851,9925,1681,6536,4329,10467,1930,792,969,1466,676
2012-01-01,21238,11235,5482,1013,4521,3508,392,580,2536,501330269,25909,16449,9460,13080,5432,1536,3387,1783,4802,955,221,510,1356,694
2012-01-08,27786,13263,7685,1371,6838,5467,812,1113,3542,501333811,36804,22961,13843,16407,5549,1928,8277,3037,8504,798,437,942,1566,791
2012-01-15,25990,12288,7833,1555,5869,4314,445,1079,2790,501336601,34384,19990,14394,14590,5818,1444,4021,2837,10900,1017,253,935,1228,707
2012-01-22,27346,9936,8539,861,8871,8010,180,1540,6290,501342891,40445,24506,15939,19117,7861,1042,6819,2773,5070,583,709,602,1214,662
2012-01-29,19608,8896,5674,814,5038,4224,368,712,3144,501346035,23481,9522,13959,10592,6250,448,4033,1465,5888,678,399,317,1132,767
2012-02-05,27364,10399,3418,1131,13547,12416,712,3019,8685,501354720,29904,14759,15145,14992,8148,562,6756,1935,6010,591,910,358,845,715
2012-02-12,33496,16664,9161,1213,7671,6458,1002,1120,4336,501359056,36361,21502,14859,21572,7624,1168,6814,3516,8189,871,451,1100,1777,833
2012-02-19,49596,22439,5383,1328,21774,20446,782,5171,14493,501373549,63251,25478,37773,32574,15695,1539,12452,6280,19447,1044,853,807,1250,760
2012-02-26,41129,19991,5603,2431,15535,13104,535,3147,9422,501382971,49947,20473,29474,28869,12748,1509,10668,5814,19586,959,858,481,837,755
2012-03-04,66823,23945,8169,3617,34709,31092,1849,8029,21214,501404185,80728,52923,27805,42800,13280,1927,16945,7157,11712,1055,2219,1141,1316,730
2012-03-11,20901,7670,5873,835,7358,6523,204,1396,4923,501409108,20144,12191,7953,9972,3476,660,3492,2254,4750,943,474,518,1386,830
2012-03-18,40436,19946,9597,1784,10893,9109,824,2040,6245,501415353,56733,27210,29523,32390,16487,1836,10050,3010,21904,1771,875,1141,2049,770
2012-03-25,30763,11211,8058,895,11494,10599,466,2295,7838,501423191,32289,19580,12709,15960,6141,671,5906,1762,9600,835,1102,885,1992,734
2012-04-01,68660,25009,8574,2867,35077,32210,414,7728,24068,501447259,71260,45445,25815,40884,10808,1356,10596,4305,20120,2238,3182,474,1854,716
